id,lastname,firstname,tussenvoegsel,email,cohort,student_class,gender,dob
3640495,Annette,Schaaf,,annetteschaaf@student.olifantys.nl,2021,DKAB,F,1998-02-21
3640496,Shanell,Spina,,shanellspina@student.olifantys.nl,2019,DKAB,F,1997-02-23
3640497,Mahalia,Stee,,mahaliastee@student.olifantys.nl,2021,DKAC,F,1998-01-03
3640498,Zora,Testa,,zoratesta@student.olifantys.nl,2021,DKAB,F,2001-10-19
3640499,Georgeanna,Tolley,,georgeannatolley@student.olifantys.nl,2021,DKAA,F,1998-08-22
3690793,Anitra,Troop,,anitratroop@student.olifantys.nl,2020,TKDD,F,2000-05-07
3690794,Millicent,Uzzle,,millicentuzzle@student.olifantys.nl,2021,DKAC,F,1996-12-20
3690795,Royce,Wafford,,roycewafford@student.olifantys.nl,2021,DKAA,M,1998-04-11
3690796,Harriette,Weiner,,harrietteweiner@student.olifantys.nl,2021,DKAC,F,1997-08-28
3690797,Shanta,Wiemann,,shantawiemann@student.olifantys.nl,2021,DKAA,F,1999-06-16
3690798,Fawn,Wier,,fawnwier@student.olifantys.nl,2021,DKAC,F,1999-03-09
3690799,Yoshiko,Wordlaw,,yoshikowordlaw@student.olifantys.nl,2021,DKAC,F,1998-07-21
3690800,Janett,Xie,,janettxie@student.olifantys.nl,2021,DKAC,F,1997-04-10
3690801,Mikki,Müller-Yang,,mikkiyang@student.olifantys.nl,2021,DKAA,M,1997-06-16
3690802,Shelia,Yazzieß,,sheliayazzies@student.olifantys.nl,2021,DKAA,F,1999-05-22
3690803,Nicholle,Yoon,,nicholleyoon@student.olifantys.nl,2021,DKAB,F,1996-12-15
3690804,Berneice,Zeno,zonder,berneicezeno@student.olifantys.nl,2021,DKAB,F,2000-07-31
